bin, Red Channel, Green Channel, Blue Channel
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,1,0
18,0,3,0
19,0,3,0
20,0,4,0
21,0,4,0
22,0,3,0
23,0,13,0
24,0,16,0
25,0,26,1
26,0,53,1
27,0,45,0
28,0,85,1
29,0,94,1
30,0,137,4
31,0,167,5
32,0,201,2
33,0,168,20
34,0,112,11
35,0,97,13
36,0,81,21
37,0,56,15
38,0,40,46
39,0,31,19
40,0,26,55
41,0,20,43
42,0,10,88
43,0,13,112
44,0,4,40
45,0,11,146
46,0,5,56
47,0,7,151
48,0,9,68
49,0,8,143
50,0,2,121
51,0,6,58
52,0,6,125
53,0,7,51
54,0,3,117
55,0,6,49
56,0,5,94
57,0,2,67
58,0,3,87
59,0,5,69
60,0,1,96
61,0,2,88
62,0,3,117
63,0,2,122
64,0,5,136
65,0,2,207
66,0,2,121
67,0,2,314
68,0,3,134
69,0,3,341
70,0,2,240
71,0,3,282
72,0,2,287
73,0,1,121
74,0,2,207
75,0,0,90
76,0,2,138
77,0,5,87
78,0,6,113
79,0,2,55
80,0,4,52
81,0,6,44
82,0,1,35
83,0,7,34
84,0,5,21
85,0,10,14
86,0,9,11
87,0,7,13
88,0,20,12
89,0,11,6
90,0,35,8
91,0,34,7
92,0,40,5
93,0,59,3
94,0,105,3
95,0,129,2
96,0,164,2
97,0,159,1
98,0,210,1
99,0,225,0
100,0,205,1
101,0,133,2
102,0,71,4
103,0,88,2
104,0,49,0
105,0,29,3
106,0,19,3
107,0,16,1
108,0,19,0
109,0,13,0
110,0,15,3
111,0,10,1
112,0,5,2
113,0,8,2
114,0,10,2
115,0,3,2
116,0,8,3
117,0,6,3
118,0,4,1
119,0,7,4
120,0,5,5
121,0,4,7
122,0,3,1
123,0,5,2
124,0,4,1
125,0,3,3
126,0,3,2
127,0,2,6
128,0,0,4
129,0,3,1
130,0,2,4
131,0,2,2
132,0,1,8
133,0,2,4
134,0,0,0
135,0,2,3
136,0,1,4
137,0,1,4
138,0,3,6
139,0,2,4
140,0,2,5
141,0,1,3
142,0,2,8
143,1,0,9
144,1,0,17
145,0,1,10
146,0,0,20
147,1,2,24
148,4,0,26
149,4,2,36
150,6,0,27
151,11,2,47
152,8,1,45
153,11,0,70
154,26,3,54
155,46,0,90
156,54,2,104
157,62,2,77
158,81,1,87
159,99,2,67
160,85,3,90
161,103,3,58
162,117,2,77
163,108,1,62
164,62,2,41
165,81,5,56
166,80,6,45
167,47,2,49
168,38,3,46
169,42,5,66
170,32,7,57
171,26,3,92
172,24,11,106
173,12,4,144
174,21,5,164
175,17,5,884
176,20,12,629
177,19,3,220
178,17,8,216
179,12,3,150
180,9,4,93
181,17,11,48
182,19,9,44
183,17,6,44
184,11,24,20
185,15,20,16
186,18,33,11
187,17,59,13
188,29,65,11
189,33,102,8
190,29,136,11
191,44,198,8
192,56,190,3
193,74,210,5
194,53,177,1
195,112,135,1
196,127,110,1
197,52,75,1
198,129,60,0
199,141,46,1
200,163,27,1
201,75,28,1
202,131,39,0
203,125,33,0
204,37,29,0
205,69,39,0
206,52,53,0
207,47,62,0
208,29,88,0
209,36,116,0
210,28,164,0
211,17,149,0
212,24,167,0
213,18,139,0
214,23,126,0
215,19,71,0
216,21,53,0
217,21,51,0
218,19,21,0
219,35,13,0
220,22,12,0
221,24,5,0
222,28,8,0
223,35,7,0
224,27,8,0
225,52,10,0
226,33,8,0
227,57,8,0
228,43,10,0
229,79,17,0
230,91,18,0
231,64,23,0
232,136,34,0
233,151,53,0
234,163,72,0
235,133,111,0
236,252,224,0
237,158,1040,0
238,193,792,0
239,263,231,0
240,238,123,0
241,150,72,0
242,217,53,0
243,233,35,0
244,124,34,0
245,169,18,0
246,147,16,0
247,123,21,0
248,106,3,0
249,135,10,0
250,111,4,0
251,116,6,0
252,189,2,0
253,309,1,0
254,202,1,0
255,2058,2,0
