bin, Red Channel, Green Channel, Blue Channel
0,69,0,69
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,1,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,2,0
51,0,1,0
52,0,1,0
53,0,2,0
54,0,0,0
55,0,4,0
56,0,6,0
57,0,4,0
58,0,5,0
59,0,1,0
60,0,4,0
61,0,3,0
62,0,5,0
63,0,8,0
64,0,6,0
65,0,6,0
66,0,3,0
67,0,5,0
68,0,6,0
69,0,13,0
70,0,11,0
71,0,12,0
72,0,7,0
73,0,14,0
74,0,12,0
75,0,15,0
76,0,17,0
77,0,21,0
78,0,26,0
79,0,17,0
80,0,36,0
81,0,29,0
82,0,35,0
83,0,36,0
84,0,42,0
85,0,49,0
86,0,34,0
87,0,51,0
88,0,57,0
89,0,55,0
90,0,55,0
91,0,65,0
92,0,53,0
93,0,72,0
94,0,69,0
95,0,80,0
96,0,63,0
97,0,78,0
98,0,73,0
99,0,69,0
100,0,85,0
101,0,83,0
102,0,73,0
103,0,89,0
104,0,83,0
105,0,77,0
106,0,67,0
107,0,89,0
108,0,73,0
109,0,88,0
110,0,89,0
111,0,82,0
112,0,71,0
113,0,69,0
114,0,77,0
115,0,70,0
116,0,64,0
117,0,54,0
118,0,65,0
119,0,70,0
120,0,49,0
121,0,47,0
122,0,38,0
123,0,37,0
124,0,40,0
125,0,44,0
126,0,37,0
127,0,32,0
128,0,18,0
129,0,26,0
130,0,29,0
131,0,26,0
132,0,20,0
133,0,21,0
134,0,32,0
135,0,23,0
136,0,16,0
137,0,23,0
138,2,11,1
139,0,9,0
140,0,11,0
141,1,14,0
142,3,5,1
143,1,4,1
144,0,6,1
145,3,10,1
146,4,7,1
147,7,7,2
148,8,5,2
149,7,4,2
150,7,3,4
151,7,1,2
152,9,1,6
153,17,1,5
154,11,1,11
155,10,3,10
156,17,2,12
157,23,1,14
158,33,4,20
159,42,2,15
160,36,2,16
161,35,0,17
162,56,0,24
163,49,1,29
164,43,1,25
165,50,0,32
166,49,0,32
167,70,0,40
168,80,0,37
169,77,0,46
170,93,0,37
171,92,0,58
172,88,0,52
173,100,0,75
174,100,0,60
175,109,0,65
176,114,0,99
177,113,0,80
178,105,0,82
179,112,0,83
180,109,0,94
181,97,0,100
182,108,0,104
183,104,0,94
184,130,0,94
185,80,0,107
186,95,0,92
187,101,0,105
188,115,0,109
189,100,0,107
190,75,0,84
191,64,0,94
192,74,0,106
193,53,0,101
194,55,0,110
195,45,0,107
196,37,0,96
197,42,0,76
198,46,0,81
199,37,0,79
200,33,0,72
201,29,0,52
202,25,0,56
203,15,0,53
204,17,0,36
205,11,0,45
206,11,0,35
207,10,0,27
208,4,0,21
209,6,0,19
210,4,0,17
211,5,0,10
212,3,0,11
213,2,0,7
214,0,0,9
215,3,0,5
216,2,0,5
217,0,0,3
218,0,0,1
219,1,0,4
220,0,0,0
221,0,0,1
222,0,0,0
223,0,0,0
224,0,0,1
225,0,0,1
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,69,0
