# PPM Values, R, G, B, R_std, G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std
square1,173.1930473372781,166.23853550295857,174.05436390532543,8.069392764605968,7.707224589500418,8.934984770542222,296.4152923538231,0.13389356,0.68535503,23.368662752232375,0.01365385,0.03252042,175.93639053254438,132.03180473372782,124.81102071005917,7.870791332675129,0.9905740656924965,1.849999158687662
square2,202.7462192816635,199.06379962192815,187.95132325141776,6.960621066439006,6.818896346009228,6.712077055594223,45.39961759082218,0.07920934,0.79508321,3.066964519566451,0.00178683,0.02729655,204.76890359168243,127.37712665406427,133.98109640831757,6.33963117007275,0.540011959039629,0.2619938240919738
square3,183.50661625708884,177.42155009451795,177.50850661625708,6.2630169691575155,6.274440956566077,6.25757940726572,343.6,nan,0.71963379,6.118823416311343,nan,0.02456085,185.94754253308128,130.04489603024575,128.96597353497165,5.845246611522408,0.2070757752947449,0.2512258175385264
square4,168.7864,156.2184,178.9156,7.112072485569871,6.380368440772053,8.038835527612191,272.9672,0.1271492,0.70163608,4.88693402451885,0.00945691,0.03143933,168.7492,137.0204,117.8168,6.56005330466148,1.0276107434237929,1.0272476624456246
square5,200.69574652777777,197.31684027777777,186.13634389926185,15.210383970139778,14.120062844703549,13.917896899680319,46.68365553602811,0.0870303,0.78736213,6.278265854353022,0.03069025,0.05867462,203.06336805555554,127.26388888888889,134.06467013888889,13.960676859609064,0.8553232909834535,0.43068307608377265
square6,181.42202268431,177.3289224952741,178.37287334593572,6.462416199063645,6.721402697838242,6.800728407072031,343.9644913627639,0.08627451,0.71146447,14.305170205451285,0.0,0.025338,185.45510396975425,129.92155009451795,128.02126654064273,6.420840318495509,0.5130514533692883,0.23818291099155478
square7,212.03342013888889,204.85243055555554,194.83940972222223,4.855392667480948,4.910652500563299,4.970336556502535,40.74418604651163,0.08146584,0.83150361,1.7796396716008362,0.0037543,0.01904076,210.94053819444446,129.0390625,134.04210069444446,4.530225158656523,0.4231189863966229,0.28021896869445584
square8,188.77457466918713,182.67627599243858,182.67438563327033,4.358219757019334,4.480120395633015,4.528457159395646,350.70588235294116,nan,0.74029245,5.938555041940688,nan,0.01709106,190.79489603024575,130.03166351606805,129.01134215500946,4.23645316109664,0.22263092664919837,0.16228488492502652
square9,175.20861678004536,166.96768707482994,181.84750566893425,4.131019556537886,4.675596301310255,5.076175903721563,273.30272108843536,0.08453822,0.7132164,8.209085549937901,0.00578442,0.01938634,177.56235827664398,133.88662131519274,121.41780045351474,4.333342529396911,0.898892069069425,0.7682330441134523
square10,175.71361058601136,162.02221172022684,187.56143667296786,5.208980903087937,5.173637006207407,5.409987492189739,272.4725897920605,0.1362063,0.73553505,2.0392428595989,0.01374713,0.02121564,174.8780718336484,137.87145557655955,116.57325141776937,5.061089124415289,0.9463480490174373,1.2697673361753479
square11,211.02039930555554,207.85503472222223,196.46591402518453,8.174582718300234,7.960503129089191,6.874947574141152,50.510858324715606,0.08156292,0.82757013,3.9870052607068787,0.01763572,0.03174836,212.78949652777777,127.33203125,133.99131944444446,7.706331547959202,0.868276773027468,0.25500747954111774
square12,195.53684807256235,190.62585034013605,184.75056689342404,3.7829883024128463,4.056926359672555,4.129167957749242,42.0,0.0872549,0.76681117,0.0,0.00753054,0.01483525,197.6122448979592,128.9387755102041,131.90702947845804,3.805263652937817,0.281101408318291,0.31294160133008625
square13,175.86311983471074,163.50723140495867,187.14721074380165,8.672434444390527,8.377764091800193,9.725760421363919,271.46280991735534,0.12623195,0.73391266,3.8863850553669193,0.00902252,0.03811343,175.8073347107438,136.9917355371901,117.375,8.548027170994947,1.0659715451259004,0.928138521828762
square14,185.5736,179.8892,181.8612,8.148900725864808,8.095734886963628,8.191284060512125,339.5121951219512,nan,0.72774745,7.393873374228324,nan,0.03194928,188.1976,130.4032,127.9192,7.815532882663856,0.5801980351569626,0.4748382461428312
square15,181.031190926276,167.4187145557656,192.6531190926276,6.945301460794667,6.3179395803101634,7.759358926598929,272.6947069943289,0.13130172,0.75550613,2.9281552156738093,0.00930173,0.03038552,179.7859168241966,137.8147448015123,116.836011342155,6.281669115891938,0.9303179432411557,1.110632565488483
square16,196.26937618147448,194.34120982986767,182.35066162570888,6.454598439075527,6.226340720130468,6.337611237478368,52.27221172022684,0.08769295,0.76972831,2.8072285548799436,0.02671308,0.02521532,200.18052930056712,126.83884688090737,134.02362948960302,6.053363740457304,0.44128120864021264,0.2161032772244551
